Process Num,Input Length,Output Length,TTFT (ms),avg TPS (without prefill),avg TPS (with prefill),Total Time (ms),TPS (without prefill),TPS (with prefill),Error,avg input Tokens,avg output Tokens
128,128,1024,105.6671,3.7346,3.6599,274301.1503,3.7346,3.6599,,128,1024
128,1024,128,177.6702,5.5137,5.4034,23392.6568,5.5137,5.4034,,1024,128
128,128,2048,83.0106,1.9268,1.8882,1063003.3984,1.9268,1.8882,,128,2048
128,1024,1024,215.6442,2.7440,2.6891,373399.7187,2.7440,2.6891,,1024,1024
128,2048,2048,270.8163,6.6767,6.5432,307008.7960,6.6767,6.5432,,2048,2048
128,4096,1024,473.2953,5.0388,4.9381,203694.4313,5.0388,4.9381,,4096,1024
128,4096,4096,439.1960,6.4836,6.3540,632184.0951,6.4836,6.3540,,4096,4096
256,128,128,63.2561,1.3745,1.3470,93186.8129,1.3745,1.3470,,128,128
256,256,256,142.8118,2.8162,2.7599,91045.8086,2.8162,2.7599,,256,256
256,512,512,127.7815,0.8760,0.8585,584607.0034,0.8760,0.8585,,512,512
256,128,1024,41.9105,0.8948,0.8769,1144453.8361,0.8948,0.8769,,128,1024
256,1024,128,134.6006,1.7292,1.6946,74157.3170,1.7292,1.6946,,1024,128
256,128,2048,72.7815,1.4807,1.4511,1383194.6596,1.4807,1.4511,,128,2048
256,1024,1024,149.8271,1.4182,1.3898,722186.3341,1.4182,1.3898,,1024,1024
256,2048,2048,276.3299,2.9700,2.9106,689836.5696,2.9700,2.9106,,2048,2048
256,4096,1024,494.2933,2.3157,2.2694,442694.4869,2.3157,2.2694,,4096,1024
256,4096,4096,470.2661,1.4072,1.3791,2911226.3594,1.4072,1.3791,,4096,4096
