Process Num,Input Length,Output Length,TTFT (ms),avg TPS (without prefill),avg TPS (with prefill),Total Time (ms),TPS (without prefill),TPS (with prefill),Error,avg input Tokens,avg output Tokens
24,1024,128,206.3510,21.6134,21.1812,6128.5979,21.6134,21.1812,,1024,128
24,128,2048,36.2314,8.7692,8.5938,233580.2094,8.7692,8.5938,,128,2048
24,1024,1024,179.3946,22.0515,21.6104,46616.2254,22.0515,21.6104,,1024,1024
24,2048,2048,275.8637,19.0376,18.6568,107852.6245,19.0376,18.6568,,2048,2048
24,4096,1024,501.1811,14.6459,14.3529,70418.5302,14.6459,14.3529,,4096,1024
24,4096,4096,485.1587,8.5151,8.3448,481513.7048,8.5151,8.3448,,4096,4096
32,128,128,47.0434,6.3770,6.2494,20119.2665,6.3770,6.2494,,128,128
32,256,256,135.6524,7.1892,7.0455,35744.3899,7.1892,7.0455,,256,256
32,512,512,93.3146,15.5096,15.1994,33105.1583,15.5096,15.1994,,512,512
32,128,1024,43.6726,6.2287,6.1041,164443.8088,6.2287,6.1041,,128,1024
32,1024,128,199.3735,8.5512,8.3802,15167.9519,8.5512,8.3802,,1024,128
32,128,2048,43.5989,12.6539,12.4009,161890.5671,12.6539,12.4009,,128,2048
32,1024,1024,152.8615,4.9437,4.8449,207283.6254,4.9437,4.8449,,1024,1024
32,2048,2048,249.0440,13.2166,12.9523,155205.5648,13.2166,12.9523,,2048,2048
32,4096,1024,497.4137,4.6864,4.5927,219002.0705,4.6864,4.5927,,4096,1024
32,4096,4096,473.6109,12.9324,12.6738,317196.5100,12.9324,12.6738,,4096,4096
48,128,128,102.1922,4.0364,3.9557,31813.5976,4.0364,3.9557,,128,128
48,256,256,117.6735,6.8261,6.6895,37620.9992,6.8261,6.6895,,256,256
48,512,512,124.3486,10.4442,10.2353,49146.6288,10.4442,10.2353,,512,512
48,128,1024,53.3939,10.4495,10.2405,98048.1846,10.4495,10.2405,,128,1024
48,1024,128,136.6598,7.8528,7.6957,16436.6632,7.8528,7.6957,,1024,128
48,128,2048,132.0230,9.4531,9.2640,216781.1730,9.4531,9.2640,,128,2048
48,1024,1024,189.7753,4.2305,4.1459,242238.8209,4.2305,4.1459,,1024,1024
48,2048,2048,266.8018,3.0882,3.0264,663435.6032,3.0882,3.0264,,2048,2048
48,4096,1024,521.2267,11.6944,11.4605,88084.5032,11.6944,11.4605,,4096,1024
48,4096,4096,432.7570,4.6507,4.5577,881151.6221,4.6507,4.5577,,4096,4096
64,128,128,63.5035,7.7724,7.6170,16532.0092,7.7724,7.6170,,128,128
64,256,256,69.3777,11.8931,11.6552,21594.5130,11.8931,11.6552,,256,256
64,512,512,90.5355,11.0772,10.8557,46311.4891,11.0772,10.8557,,512,512
64,128,1024,82.0802,11.8185,11.5822,86725.5937,11.8185,11.5822,,128,1024
64,1024,128,155.1111,4.4078,4.3197,29194.3053,4.4078,4.3197,,1024,128
64,128,2048,99.1879,11.1540,10.9309,183710.6816,11.1540,10.9309,,128,2048
64,1024,1024,182.6299,7.7752,7.6197,131884.0797,7.7752,7.6197,,1024,1024
64,2048,2048,255.8612,7.9194,7.7610,258862.2125,7.9194,7.7610,,2048,2048
64,4096,1024,489.0211,9.2327,9.0480,111399.5815,9.2327,9.0480,,4096,1024
64,4096,4096,511.6797,10.3612,10.1540,395832.0692,10.3612,10.1540,,4096,4096
128,128,128,78.1874,6.6603,6.5271,19296.5437,6.6603,6.5271,,128,128
128,256,256,99.1353,1.9065,1.8683,134378.4420,1.9065,1.8683,,256,256
128,512,512,144.2662,2.0008,1.9608,256035.8022,2.0008,1.9608,,512,512
128,128,1024,77.0917,2.0949,2.0530,488884.1464,2.0949,2.0530,,128,1024
128,1024,128,147.3403,5.2490,5.1441,24532.7247,5.2490,5.1441,,1024,128
128,128,2048,98.5766,4.2961,4.2102,476805.0958,4.2961,4.2102,,128,2048
128,1024,1024,202.9115,2.4679,2.4185,415135.1719,2.4679,2.4185,,1024,1024
128,2048,2048,307.7797,5.9277,5.8092,345803.4048,5.9277,5.8092,,2048,2048
128,4096,1024,525.4300,1.5771,1.5456,649816.4744,1.5771,1.5456,,4096,1024
128,4096,4096,484.0522,5.8513,5.7342,700504.6986,5.8513,5.7342,,4096,4096
256,128,128,39.8724,3.0601,2.9989,41869.1012,3.0601,2.9989,,128,128
256,256,256,65.1748,1.8616,1.8244,137578.5218,1.8616,1.8244,,256,256
256,512,512,124.2093,2.3861,2.3383,214702.9707,2.3861,2.3383,,512,512
256,128,1024,72.5365,2.8435,2.7867,360187.8925,2.8435,2.7867,,128,1024
256,1024,128,145.5506,2.5960,2.5441,49452.2983,2.5960,2.5441,,1024,128
256,128,2048,91.4011,2.1059,2.0638,972596.1971,2.1059,2.0638,,128,2048
256,1024,1024,153.7113,2.6747,2.6212,383001.2820,2.6747,2.6212,,1024,1024
256,2048,2048,232.5901,2.0587,2.0175,995049.9753,2.0587,2.0175,,2048,2048
256,4096,1024,495.5228,1.8160,1.7797,564378.3612,1.8160,1.7797,,4096,1024
256,4096,4096,518.3857,3.3428,3.2759,1225836.9831,3.3428,3.2759,,4096,4096
